illness;symptoms
ulcers;['inflammation', 'itch', 'numbness', 'sensitivity light', 'swelling', 'watery eyes']
under;['abdominal pain', 'anxiety', 'choking', 'constipation', 'cough', 'depression', 'heartburn', 'rash', 'urtication']
understand;['hair loss', 'weight gain']
understanding;['knee pain', 'weight loss']
unloading;['knee pain']
urethral;['dark urine', 'frequent urination', 'incontinence', 'painful urination', 'swelling']
urethritis;['abdominal pain', 'chill', 'fever', 'itch', 'pelvic pain', 'swelling', 'vaginal discharge']
urinary;['abdominal pain', 'chill', 'confusion', 'constipation', 'cough', 'fatigue', 'fever', 'incontinence', 'nausea', 'night sweats', 'rash', 'skin rashes', 'sneeze', 'spasm', 'urinary urgency', 'vomiting']
uropathy;['blood urine', 'fever', 'incontinence', 'nausea', 'swelling', 'vomiting', 'weight gain']
urticaria;['abdominal pain', 'diarrhea', 'faint', 'worry']
uti;['chill', 'confusion', 'fever', 'spasm']
uveitis;['blurred vision', 'eye pain', 'inflammation', 'sensitivity light']
uvulitis;['choking', 'cough', 'excessive saliva', 'fever']
vaginosis;['itch', 'vaginal discharge']
valley;['chest pain', 'cough', 'fever', 'loss appetite', 'night sweats', 'sensitivity light', 'skin lesions', 'stiffness', 'swelling', 'weight loss', 'worry']
varices;['vertigo', 'vomiting']
varicocele;['swelling']
varicose;['blood clots', 'itch', 'swelling']
vasculitis;['abdominal pain', 'chest pain', 'chill', 'cough', 'diarrhea', 'fatigue', 'fever', 'gruffness', 'inflammation', 'joint pain', 'nausea', 'numbness', 'prickling', 'rash', 'shortness breath', 'sinus congestion', 'swelling', 'urtication', 'vomiting', 'weakness', 'weight loss', 'worry']
venereum;['inflammation', 'swelling']
venous;['abdominal pain', 'bloat', 'blush', 'constipation', 'diarrhea', 'fever', 'itch', 'nausea', 'prickling', 'rapid breathing', 'swelling', 'vomiting']
ventricle;['pale skin', 'perspiration', 'rapid breathing']
ventricular;['chest pain', 'faint', 'irregular heartbeat', 'nausea', 'palpitation', 'perspiration', 'shortness breath', 'vertigo']
ventriculoperitoneal;['swelling']
vera;['blood clots', 'joint pain', 'shortness breath', 'tinnitus', 'vertigo', 'worry']
vernal;['itch']
versicolor;['itch', 'perspiration', 'swelling']
vertebrobasilar;['difficulty swallowing', 'difficulty walking', 'double vision', 'hearing loss', 'memory loss', 'nausea', 'numbness', 'perspiration', 'prickling', 'slurred speech', 'unsteady gait', 'vertigo', 'vomiting', 'weakness', 'worry']
vertigo;['hearing loss', 'loss balance', 'nausea', 'tinnitus', 'vertigo', 'vomiting']
vertigoassociated;['difficulty swallowing', 'double vision', 'hearing loss', 'loss balance', 'nausea', 'slurred speech', 'vertigo', 'vomiting', 'weakness']
vipoma;['abdominal pain', 'blush', 'diarrhea', 'inflammation', 'nausea', 'weight loss']
viral;['abdominal pain', 'chest pain', 'chill', 'confusion', 'cough', 'diarrhea', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'low energy', 'muscle pain', 'nausea', 'perspiration', 'shortness breath', 'skin lesions', 'sore throat', 'stiffness', 'swelling', 'swollen lymph nodes', 'vomiting', 'weight loss', 'worry']
virus;['abdominal pain', 'breathing problems', 'chest pain', 'chill', 'confusion', 'cough', 'diarrhea', 'fatigue', 'fever', 'irritability', 'joint pain', 'loss appetite', 'muscle pain', 'nausea', 'rapid breathing', 'rash', 'red eyes', 'runny nose', 'sensitivity light', 'shortness breath', 'skin rashes', 'sneeze', 'sore throat', 'swelling', 'swollen lymph nodes', 'vomiting', 'weakness', 'wheeze', 'worry']
volvulus;['constipation', 'nausea', 'vomiting']
vomiting;['nausea', 'swelling', 'vomiting', 'weight loss']
von;['bruise', 'fatigue', 'irritability', 'rash']
vulgaris;['dry skin', 'itch']
vulvar;['itch']
vulvodynia;['itch']
vulvovaginitis;['inflammation', 'itch', 'swelling', 'vaginal discharge']
waardenburg;['constipation']
waldenstrom;['bruise', 'confusion', 'diarrhea', 'fatigue', 'numbness', 'prickling', 'rash', 'swollen glands', 'vertigo', 'weight loss']
warning;['anxiety', 'chest pain', 'faint', 'fatigue', 'indigestion', 'nausea', 'palpitation', 'perspiration', 'shortness breath', 'vertigo', 'vomiting', 'weakness']
warts;['itch', 'vaginal discharge']
waterhousefriderichsen;['blood clots', 'chill', 'confusion', 'fever', 'low blood pressure', 'muscle pain', 'rash', 'vertigo', 'vomiting', 'weakness', 'worry']
weakness;['weakness']
weight;['nausea', 'rash', 'vomiting', 'weight gain', 'weight loss']
weightloss;['diarrhea', 'dry skin', 'hair loss', 'hair thinning', 'weight loss']
wernickekorsakoff;['confusion', 'double vision', 'hallucination']
whipple;['abdominal pain', 'diarrhea', 'fever', 'joint pain', 'memory loss', 'weight loss']
whipworm;['diarrhea', 'incontinence']
willebrand;['bruise', 'rash']
williams;['hyperactivity', 'vomiting']
wilms;['abdominal pain', 'blood urine', 'constipation', 'fever', 'high blood pressure', 'loss appetite', 'nausea', 'perspiration', 'swelling', 'vomiting']
wilson;['confusion', 'difficulty walking', 'jaundice', 'stiffness', 'tremor', 'vomiting', 'weakness']
wolffparkinsonwhite;['chest pain', 'chest tightness', 'faint', 'palpitation', 'shortness breath', 'vertigo']
wound;['rash']
wounds;['swelling']
wpw;['chest pain', 'chest tightness', 'faint', 'palpitation', 'shortness breath', 'vertigo']
yeast;['inflammation', 'itch', 'painful urination', 'swelling', 'vaginal discharge']
